Date	        Open	High	Low	    Close	Volume	        Market Cap
Dec 31, 2022	$9.8810	$10.15	$9.6926	$9.9610	$285,758,573	$3,658,820,468
Dec 30, 2022	$9.6519	$10.02	$9.0627	$9.8802	$837,030,648	$3,629,128,152
Dec 29, 2022	$9.7558	$9.8271	$8.1413	$9.6518	$772,500,177	$3,543,974,933
Dec 28, 2022	$11.08	$11.10	$9.5229	$9.7559	$468,728,777	$3,582,216,473
Dec 27, 2022	$11.31	$11.39	$10.77	$11.09	$223,332,961	$4,070,407,409
Dec 26, 2022	$11.39	$11.45	$11.14	$11.31	$132,410,401	$4,150,156,916
Dec 25, 2022	$11.44	$11.53	$11.27	$11.39	$105,389,060	$4,180,006,176
Dec 24, 2022	$11.79	$11.79	$11.24	$11.44	$202,780,776	$4,199,217,232
Dec 23, 2022	$11.79	$12.08	$11.76	$11.79	$157,181,374	$4,324,676,761
Dec 22, 2022	$12.13	$12.17	$11.72	$11.79	$181,200,151	$4,326,607,964
Dec 21, 2022	$12.28	$12.28	$11.93	$12.13	$167,974,882	$4,449,190,608
Dec 20, 2022	$11.93	$12.44	$11.88	$12.28	$177,388,342	$4,504,786,633
Dec 19, 2022	$12.42	$12.57	$11.74	$11.93	$206,060,595	$4,375,662,115
Dec 18, 2022	$12.50	$12.57	$12.31	$12.41	$110,722,042	$4,551,858,597
Dec 17, 2022	$12.27	$12.51	$11.99	$12.50	$222,801,055	$4,583,736,807
Dec 16, 2022	$14.02	$14.15	$12.15	$12.27	$358,747,840	$4,496,435,713
Dec 15, 2022	$14.14	$14.47	$13.91	$14.02	$272,679,087	$5,139,781,836
Dec 14, 2022	$13.84	$14.89	$13.83	$14.14	$441,479,811	$5,183,344,546
Dec 13, 2022	$13.32	$14.06	$12.83	$13.83	$315,949,878	$5,068,968,361
Dec 12, 2022	$13.43	$13.46	$12.95	$13.32	$205,298,705	$4,880,019,005
Dec 11, 2022	$13.58	$13.78	$13.41	$13.43	$117,436,002	$4,918,327,639
Dec 10, 2022	$13.58	$13.70	$13.57	$13.58	$109,293,691	$4,970,727,968
Dec 09, 2022	$13.69	$13.98	$13.54	$13.58	$211,833,041	$4,971,563,353
Dec 08, 2022	$13.52	$13.75	$13.31	$13.69	$195,918,913	$5,009,720,672
Dec 07, 2022	$14.29	$14.31	$13.50	$13.52	$223,134,812	$4,930,063,883
Dec 06, 2022	$13.83	$14.32	$13.83	$14.29	$279,979,830	$5,200,609,281
Dec 05, 2022	$13.72	$14.14	$13.63	$13.83	$335,440,747	$5,034,021,318
Dec 04, 2022	$13.30	$13.72	$13.30	$13.72	$141,802,483	$4,991,178,197
Dec 03, 2022	$13.72	$13.73	$13.28	$13.30	$161,314,094	$4,839,921,670
Dec 02, 2022	$13.48	$13.77	$13.38	$13.72	$245,049,936	$4,988,527,058
Dec 01, 2022	$14.13	$14.15	$13.44	$13.48	$232,200,065	$4,903,185,920
